0,313308546,2021-10-19T08:35:43.000Z,['1450380125694988288'],"{'hashtags': [{'start': 228, 'end': 238, 'tag': 'öppnadata'}, {'start': 239, 'end': 243, 'tag': 'PTS'}, {'start': 244, 'end': 266, 'tag': 'informationshantering'}], 'mentions': [{'start': 6, 'end': 12, 'username': 'PTSse', 'id': '148266966'}], 'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/lielD8bwtS', 'expanded_url': 'http://dataportal.se', 'display_url': 'dataportal.se', 'images': [{'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=orig', 'width': 150, 'height': 150}, {'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Sveriges dataportal', 'description': 'Sveriges nationella dataportal för att hitta, utforska och använda data från offentlig och privat sektor', 'unwound_url': 'https://www.dataportal.se/'}, {'start': 203, 'end': 226, 'url': 'https://t.co/l8HzU1I3HO', 'expanded_url': 'https://entryscape.com/sv/2021/10/post-och-telestyrelsen-ar-nu-publicister-pa-dataportal-se/', 'display_url': 'entryscape.com/sv/2021/10/pos…', 'status': 200, 'unwound_url': 'https://entryscape.com/sv/2021/10/post-och-telestyrelsen-ar-nu-publicister-pa-dataportal-se/'}]}",1450380125694988288,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TweetDeck,"Nu är @PTSse publicister på https://t.co/lielD8bwtS!

Vi är tacksamma att få hjälpa ytterligare en av Sveriges myndigheter med en hållbar informationshantering &amp; ser fram emot kommande datamängder.

https://t.co/l8HzU1I3HO

#öppnadata #PTS #informationshantering"
1,96231132,2021-06-15T09:11:28.000Z,['1404728253462585344'],"{'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/J0HDcjnbCN', 'expanded_url': 'https://community.dataportal.se/', 'display_url': 'community.dataportal.se'}]}",1404728253462585344,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App,"Hehe, joinar ett community! Det var inte igår! (snarare 2010 senast det begav sig) https://t.co/J0HDcjnbCN"
2,951540713564536833,2021-06-07T11:37:14.000Z,['1401865833362739200'],"{'hashtags': [{'start': 256, 'end': 266, 'tag': 'öppnadata'}], 'mentions': [{'start': 267, 'end': 279, 'username': 'SCB_nyheter', 'id': '22117644'}], 'urls': [{'start': 207, 'end': 230, 'url': 'https://t.co/20SP27PU4p', 'expanded_url': 'http://dataportal.se', 'display_url': 'dataportal.se', 'images': [{'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=orig', 'width': 150, 'height': 150}, {'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Sveriges dataportal', 'description': 'Sveriges nationella dataportal för att hitta, utforska och använda data från offentlig och privat sektor', 'unwound_url': 'https://www.dataportal.se/'}, {'start': 232, 'end': 255, 'url': 'https://t.co/Jhh7UqxeUM', 'expanded_url': 'https://www.dataportal.se/sv/nyheter/5233/nu-blir-scb-s-data-annu-mer-anvandbar', 'display_url': 'dataportal.se/sv/nyheter/523…', 'status': 200, 'unwound_url': 'https://www.dataportal.se/sv/nyheter/5233/nu-blir-scb-s-data-annu-mer-anvandbar'}]}",1401865833362739200,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",Twitter Web App,"Statistikmyndigheten SCB, som är den myndighet som hittills publicerat allra flest datamängder på Sveriges dataportal, gör det ännu enklare att använda deras öppna, maskinläsbara data och API:er. Läs mer på https://t.co/20SP27PU4p 👇https://t.co/Jhh7UqxeUM
#öppnadata @SCB_nyheter"
3,936564992,2021-05-28T07:27:07.000Z,['1398179011126337538'],"{'annotations': [{'start': 6, 'end': 9, 'probability': 0.4792, 'type': 'Other', 'normalized_text': 'DCAT'}, {'start': 51, 'end': 56, 'probability': 0.9242, 'type': 'Place', 'normalized_text': 'Europe'}, {'start': 60, 'end': 65, 'probability': 0.6598, 'type': 'Other', 'normalized_text': 'DCATAP'}], 'hashtags': [{'start': 5, 'end': 10, 'tag': 'DCAT'}, {'start': 35, 'end': 47, 'tag': 'DataPortals'}, {'start': 59, 'end': 66, 'tag': 'DCATAP'}, {'start': 100, 'end': 114, 'tag': 'DataCatalogue'}], 'mentions': [{'start': 140, 'end': 144, 'username': 'w3c', 'id': '35761106'}, {'start': 168, 'end': 182, 'username': 'oppnadata_psi', 'id': '849262502051540992'}, {'start': 218, 'end': 231, 'username': 'DIGG_Sverige', 'id': '951540713564536833'}, {'start': 232, 'end': 242, 'username': 'DigiRadet', 'id': '861580997317603329'}, {'start': 258, 'end': 273, 'username': 'EUPublications', 'id': '79155037'}], 'urls': [{'start': 193, 'end': 216, 'url': 'https://t.co/0T44SJGk7K', 'expanded_url': 'https://bit.ly/3toIrMp', 'display_url': 'bit.ly/3toIrMp', 'images': [{'url': 'https://pbs.twimg.com/news_img/1590286059908517889/S2YOU0z_?format=png&name=orig', 'width': 150, 'height': 150}, {'url': 'https://pbs.twimg.com/news_img/1590286059908517889/S2YOU0z_?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Sveriges dataportal', 'description': 'Sveriges nationella dataportal för att hitta, utforska och använda data från offentlig och privat sektor', 'unwound_url': 'https://www.dataportal.se/specifications/dcat-ap/2.0.0'}, {'start': 274, 'end': 297, 'url': 'https://t.co/obdfC1CPFE', 'expanded_url': 'https://twitter.com/Joinup_eu/status/1398179011126337538/photo/1', 'display_url': 'pic.twitter.com/obdfC1CPFE', 'media_key': '3_1398178139109482498'}]}",1398179011126337538,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",Twitter Web App,"🔆The #DCAT Application Profile for #DataPortals in Europe (#DCATAP) is a specification based on the #DataCatalogue Vocabulary, developed by @w3c.

💡Read more on the 🇸🇪 @oppnadata_psi website❗
👉https://t.co/0T44SJGk7K

@DIGG_Sverige @DigiRadet @EU_DataPortal @EUPublications https://t.co/obdfC1CPFE"
4,21674343,2021-03-23T01:51:24.000Z,['1374176923010600965'],"{'hashtags': [{'start': 179, 'end': 190, 'tag': 'linkeddata'}, {'start': 242, 'end': 256, 'tag': 'vartärvipåväg'}], 'urls': [{'start': 260, 'end': 283, 'url': 'https://t.co/QdCXX1TLlF', 'expanded_url': 'https://community.dataportal.se/topic/60/beskrivning-%C3%B6ppna-data-fr%C3%A5n-digg/7?_=1616462008044', 'display_url': 'community.dataportal.se/topic/60/beskr…'}, {'start': 284, 'end': 307, 'url': 'https://t.co/vP0oJ3FG9k', 'expanded_url': 'https://twitter.com/salgo60/status/1374176923010600965/photo/1', 'display_url': 'pic.twitter.com/vP0oJ3FG9k', 'media_key': '3_1374168867967275013'}, {'start': 284, 'end': 307, 'url': 'https://t.co/vP0oJ3FG9k', 'expanded_url': 'https://twitter.com/salgo60/status/1374176923010600965/photo/1', 'display_url': 'pic.twitter.com/vP0oJ3FG9k', 'media_key': '3_1374169046837510145'}]}",1374176923010600965,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 1}",Twitter Web App,"DIGGS rådgivande organ  vore intressant om ni var mer synliga... oro finns att DIGG efter &gt; 200 miljoner bara lyckas producera 2 dataset med tveksam kvalitet, 0 förståelse för #linkeddata , ingen publik backlog eller helpdesk med task ids #vartärvipåväg ?

https://t.co/QdCXX1TLlF https://t.co/vP0oJ3FG9k"
5,131807131,2021-03-22T07:03:51.000Z,['1373893168735879169'],"{'urls': [{'start': 166, 'end': 189, 'url': 'https://t.co/kVEImPDEaA', 'expanded_url': 'https://www.dataportal.se/sv/datasets/760_1544/leverantorsfakturor', 'display_url': 'dataportal.se/sv/datasets/76…', 'status': 200, 'unwound_url': 'https://www.dataportal.se/sv/datasets/760_1544/leverantorsfakturor'}]}",1373893168735879169,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}",Twitter for iPhone,DIGG har nu börjat publicera öppna data om myndighetens leverantörsfakturor som ett exempel på öppenhet som standard (open by default). Bra att vi lever som vi lär! 👍https://t.co/kVEImPDEaA
6,21674343,2021-03-19T06:16:02.000Z,['1372793969004879872'],"{'hashtags': [{'start': 0, 'end': 31, 'tag': 'Riksdagsledamötersnärvaroplikt'}, {'start': 74, 'end': 84, 'tag': 'ÖppenData'}, {'start': 176, 'end': 194, 'tag': 'datadrivenRiksdag'}, {'start': 195, 'end': 205, 'tag': 'riksdagen'}, {'start': 206, 'end': 221, 'tag': 'digitalisation'}, {'start': 222, 'end': 229, 'tag': 'swepol'}], 'urls': [{'start': 151, 'end': 174, 'url': 'https://t.co/Qtf7nBkJ89', 'expanded_url': 'https://community.dataportal.se/topic/58/android-app-to-keep-track-of-the-swedish-parliament/6', 'display_url': 'community.dataportal.se/topic/58/andro…'}, {'start': 230, 'end': 253, 'url': 'https://t.co/uoFYVVbtTg', 'expanded_url': 'https://twitter.com/salgo60/status/1372793969004879872/photo/1', 'display_url': 'pic.twitter.com/uoFYVVbtTg', 'media_key': '3_1372793784702955528'}, {'start': 230, 'end': 253, 'url': 'https://t.co/uoFYVVbtTg', 'expanded_url': 'https://twitter.com/salgo60/status/1372793969004879872/photo/1', 'display_url': 'pic.twitter.com/uoFYVVbtTg', 'media_key': '3_1372793862662418442'}]}",1372793969004879872,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App,"#Riksdagsledamötersnärvaroplikt  bör ha en digital maskinläsbar lösning - #ÖppenData så att vi medborgare, journalister enkelt kan ta del av detta

se https://t.co/Qtf7nBkJ89

#datadrivenRiksdag
#riksdagen
#digitalisation
#swepol https://t.co/uoFYVVbtTg"
7,951540713564536833,2021-03-05T10:40:50.000Z,['1367787181427863553'],"{'hashtags': [{'start': 63, 'end': 75, 'tag': 'opendataday'}, {'start': 228, 'end': 237, 'tag': 'opendata'}, {'start': 238, 'end': 246, 'tag': 'opengov'}, {'start': 247, 'end': 257, 'tag': 'oppnadata'}], 'mentions': [{'start': 258, 'end': 270, 'username': 'OpenDataDay', 'id': '759294997'}], 'urls': [{'start': 203, 'end': 226, 'url': 'https://t.co/20SP27PU4p', 'expanded_url': 'http://dataportal.se', 'display_url': 'dataportal.se', 'images': [{'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=orig', 'width': 150, 'height': 150}, {'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Sveriges dataportal', 'description': 'Sveriges nationella dataportal för att hitta, utforska och använda data från offentlig och privat sektor', 'unwound_url': 'https://www.dataportal.se/'}, {'start': 271, 'end': 294, 'url': 'https://t.co/ZluHAoPNig', 'expanded_url': 'https://twitter.com/DIGG_Sverige/status/1367787181427863553/video/1', 'display_url': 'pic.twitter.com/ZluHAoPNig', 'media_key': '7_1367784126108086273'}]}",1367787181427863553,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 15, 'quote_count': 0}",Twitter Web App,"Inför det internationella firandet av öppna data i samband med #opendataday 6 mars vill vi tipsa om Sveriges dataportal. Här kan du enkelt söka och hitta data som du behöver. Välkommen att botanisera på https://t.co/20SP27PU4p 
#opendata #opengov #oppnadata @OpenDataDay https://t.co/ZluHAoPNig"
8,4330212921,2021-02-24T00:56:03.000Z,['1364378522794491905'],"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KKtHfsJayy', 'expanded_url': 'https://www.dataportal.se/', 'display_url': 'dataportal.se'}]}",1364378522794491905,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,https://t.co/KKtHfsJayy
9,951540713564536833,2021-02-02T14:37:10.000Z,['1356612629570150400'],"{'hashtags': [{'start': 21, 'end': 31, 'tag': 'community'}, {'start': 120, 'end': 125, 'tag': 'data'}, {'start': 130, 'end': 134, 'tag': 'API'}, {'start': 180, 'end': 191, 'tag': 'innovation'}], 'urls': [{'start': 35, 'end': 58, 'url': 'https://t.co/20SP27PU4p', 'expanded_url': 'http://dataportal.se', 'display_url': 'dataportal.se', 'images': [{'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=orig', 'width': 150, 'height': 150}, {'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Sveriges dataportal', 'description': 'Sveriges nationella dataportal för att hitta, utforska och använda data från offentlig och privat sektor', 'unwound_url': 'https://www.dataportal.se/'}, {'start': 256, 'end': 279, 'url': 'https://t.co/gfSVyIP9vF', 'expanded_url': 'https://www.digg.se/om-oss/nyheter/2021/digg-lanserar-ett-oppet-forum-pa-sveriges-dataportal', 'display_url': 'digg.se/om-oss/nyheter…'}, {'start': 280, 'end': 303, 'url': 'https://t.co/2jcA5qri2l', 'expanded_url': 'https://twitter.com/DIGG_Sverige/status/1356612629570150400/photo/1', 'display_url': 'pic.twitter.com/2jcA5qri2l', 'media_key': '3_1356611708375162881'}]}",1356612629570150400,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 15, 'quote_count': 3}",Twitter Web App,"Nu lanserar DIGG ett #community på https://t.co/20SP27PU4p för alla som är intresserade av, eller vill lära sig mer om, #data och #API:er. Målet är att främja öppen och datadriven #innovation genom ett öppet forum för samverkan, dialog och kunskapsutbyte. https://t.co/gfSVyIP9vF https://t.co/2jcA5qri2l"
10,110817960,2021-01-28T19:20:39.000Z,['1354872031351865344'],"{'annotations': [{'start': 0, 'end': 1, 'probability': 0.5744, 'type': 'Other', 'normalized_text': 'Ny'}], 'urls': [{'start': 14, 'end': 37, 'url': 'https://t.co/tfnTNQiSW1', 'expanded_url': 'https://community.dataportal.se/', 'display_url': 'community.dataportal.se'}]}",1354872031351865344,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App,Ny community! https://t.co/tfnTNQiSW1
11,21385090,2020-11-12T11:29:29.000Z,['1326849592156098560'],"{'urls': [{'start': 166, 'end': 189, 'url': 'https://t.co/IXWdD0N2OW', 'expanded_url': 'https://www.dataportal.se/', 'display_url': 'dataportal.se'}]}",1326849592156098560,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App,"DIGG kommer innan årsslutet lansera verktyg för att publicera öppen data, inkl terminologier, i en dataportal. (DATAPORTAL är ett fantastiskt elektroartist-namn btw)
https://t.co/IXWdD0N2OW"
12,849262502051540992,2020-11-09T14:30:09.000Z,['1325807895825494016'],"{'urls': [{'start': 189, 'end': 212, 'url': 'https://t.co/RAzLTfpCtd', 'expanded_url': 'https://www.dataportal.se/sv/nyheter/3381/nu-finns-api-er-pa-sveriges-dataportal', 'display_url': 'dataportal.se/sv/nyheter/338…'}, {'start': 213, 'end': 236, 'url': 'https://t.co/SW97CAnzac', 'expanded_url': 'https://twitter.com/oppnadata_psi/status/1325807895825494016/photo/1', 'display_url': 'pic.twitter.com/SW97CAnzac', 'media_key': '3_1325807891564163072'}]}",1325807895825494016,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,"API:er skapar förutsättningar för ett samskapande mellan offentlig förvaltning, medborgare och den privata sektorn. Nu kan du hitta och publicera API:er på Sveriges dataportal💫 Läs mer på: https://t.co/RAzLTfpCtd https://t.co/SW97CAnzac"
13,28977327,2020-11-09T11:45:08.000Z,['1325766369921601538'],"{'hashtags': [{'start': 167, 'end': 188, 'tag': 'informationssäkerhet'}, {'start': 189, 'end': 193, 'tag': 'RCR'}], 'urls': [{'start': 142, 'end': 165, 'url': 'https://t.co/bVjbi8zlvn', 'expanded_url': 'https://www.dataportal.se/sv/datasets/238_35352/verksamhetskritiska-system', 'display_url': 'dataportal.se/sv/datasets/23…', 'status': 200, 'unwound_url': 'https://www.dataportal.se/sv/datasets/238_35352/verksamhetskritiska-system'}]}",1325766369921601538,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App,"Jag undrar vad som drivit Lidingö stad att släppa just denna data på dataportalen? Med tanke på ökad hotbild är det kanske inte helt i tiden? https://t.co/bVjbi8zlvn

#informationssäkerhet #RCR"
14,849262502051540992,2020-09-28T20:27:22.000Z,['1310677502541561860'],"{'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/rBRY181cmH', 'expanded_url': 'http://xn--ppnadata-m4a.se', 'display_url': 'öppnadata.se'}, {'start': 150, 'end': 173, 'url': 'https://t.co/dQSz84nJpT', 'expanded_url': 'http://dataportal.se', 'display_url': 'dataportal.se'}, {'start': 177, 'end': 200, 'url': 'https://t.co/s1DvXBpnpM', 'expanded_url': 'https://www.dataportal.se/sv/artiklar/3237/digg-lanserar-sveriges-nya-dataportal', 'display_url': 'dataportal.se/sv/artiklar/32…'}, {'start': 201, 'end': 224, 'url': 'https://t.co/TpOcoV0gC1', 'expanded_url': 'https://twitter.com/oppnadata_psi/status/1310677502541561860/photo/1', 'display_url': 'pic.twitter.com/TpOcoV0gC1', 'media_key': '3_1310677497923723266'}]}",1310677502541561860,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",Twitter for iPhone,"Sverige får en ny nationell dataportal med nytt namn och ny grafisk profil. Samtidigt blir det en ny webbadress, då https://t.co/rBRY181cmH byts till https://t.co/dQSz84nJpT. 
 https://t.co/s1DvXBpnpM https://t.co/TpOcoV0gC1"
15,3165965897,2020-09-25T10:54:01.000Z,['1309446048948064257'],"{'urls': [{'start': 97, 'end': 120, 'url': 'https://t.co/O5EXhlDoNI', 'expanded_url': 'https://www.dataportal.se/', 'display_url': 'dataportal.se', 'images': [{'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=orig', 'width': 150, 'height': 150}, {'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Sveriges dataportal', 'description': 'Sveriges nationella dataportal för att hitta, utforska och använda data från offentlig och privat sektor', 'unwound_url': 'https://www.dataportal.se/'}]}",1309446048948064257,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",TweetDeck,Ruotsin kansallinen avoimen datan portaali on uusittu. Käy katsomassa ja anna vaikka palautetta. https://t.co/O5EXhlDoNI
16,849262502051540992,2020-09-09T20:01:34.000Z,['1303785640983756800'],"{'urls': [{'start': 175, 'end': 198, 'url': 'https://t.co/GnyjfsP0dJ', 'expanded_url': 'https://www.dataportal.se/sv/artiklar/3203/sa-kraftsamlar-scb-pa-dataportalse', 'display_url': 'dataportal.se/sv/artiklar/32…', 'status': 404, 'unwound_url': 'https://www.dataportal.se/sv/artiklar/3203/sa-kraftsamlar-scb-pa-dataportalse'}]}",1303785640983756800,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",Twitter for iPhone,Statistikmyndigheten SCB har statistik över det mesta. Nyligen har SCB publicerat över 4000 datamängder med öppna data på Sveriges nationella dataportal – och fler är på väg. https://t.co/GnyjfsP0dJ
17,313308546,2020-08-12T07:46:30.000Z,['1293453792520941569'],"{'annotations': [{'start': 64, 'end': 89, 'probability': 0.6662, 'type': 'Other', 'normalized_text': 'Energimarknadsinspektionen'}, {'start': 256, 'end': 264, 'probability': 0.4713, 'type': 'Other', 'normalized_text': 'öppnadata'}], 'hashtags': [{'start': 233, 'end': 242, 'tag': 'opendata'}, {'start': 243, 'end': 253, 'tag': 'smartcity'}, {'start': 255, 'end': 265, 'tag': 'öppnadata'}], 'urls': [{'start': 209, 'end': 232, 'url': 'https://t.co/UzsCuxIBhR', 'expanded_url': 'http://dataportalen.se', 'display_url': 'dataportalen.se'}]}",1293453792520941569,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Sharpspring,Thinking about changing your electricity supplier? Our customer Energimarknadsinspektionen has now made it easier to get an overview of how much different suppliers charge you. 2 new datasets are available at https://t.co/UzsCuxIBhR #opendata #smartcity  #öppnadata
18,313308546,2020-04-20T08:33:23.000Z,['1252153375413669889'],"{'hashtags': [{'start': 201, 'end': 210, 'tag': 'opendata'}, {'start': 211, 'end': 225, 'tag': 'COVID19SWEDEN'}, {'start': 226, 'end': 234, 'tag': 'COVID19'}, {'start': 235, 'end': 245, 'tag': 'oppnadata'}], 'mentions': [{'start': 25, 'end': 39, 'username': 'Folkhalsomynd', 'id': '388858301'}], 'urls': [{'start': 174, 'end': 197, 'url': 'https://t.co/SSx9VAf3ww', 'expanded_url': 'https://www.dataportal.se/en/datasets?p=1&q=folkh%C3%A4lsomyndigheten&s=1&f=', 'display_url': 'dataportal.se/en/datasets?p=…', 'status': 200, 'unwound_url': 'https://www.dataportal.se/en/datasets?p=1&q=folkh%C3%A4lsomyndigheten&s=1&f='}]}",1252153375413669889,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",TweetDeck,"Efterfrågan på data från @Folkhalsomynd kring COVID-19 har varit extraordinär under rådande kris. Vi vill belysa att ni kan ta del av 4 dataset om COVID-19 fall i Sverige på https://t.co/SSx9VAf3ww? 

#opendata #COVID19SWEDEN #COVID19 #oppnadata"
19,313308546,2020-04-08T08:47:39.000Z,['1247808310624931842'],"{'annotations': [{'start': 54, 'end': 59, 'probability': 0.9901, 'type': 'Place', 'normalized_text': 'Sweden'}], 'hashtags': [{'start': 259, 'end': 268, 'tag': 'opendata'}, {'start': 269, 'end': 279, 'tag': 'SmartCity'}], 'mentions': [{'start': 13, 'end': 24, 'username': 'Sodertalje', 'id': '29203025'}, {'start': 199, 'end': 214, 'username': 'Tony_McCarrick', 'id': '395392225'}], 'urls': [{'start': 235, 'end': 258, 'url': 'https://t.co/6ezXwLLQir', 'expanded_url': 'https://lnkd.in/e78HzUf', 'display_url': 'lnkd.in/e78HzUf', 'status': 200, 'unwound_url': 'https://www.dataportal.se/en/datasets/75_2041/vattentemperatur-badsjoar'}]}",1247808310624931842,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",TweetDeck,Our customer @Sodertalje is the first municipality in Sweden to publish real-time data about water temperatures in their lakes. These datasets are critical for  establishing smart cities. Great work @Tony_McCarrick + others involved!  https://t.co/6ezXwLLQir #opendata #SmartCity
20,313308546,2020-04-01T09:16:59.000Z,['1245278977742327808'],"{'annotations': [{'start': 72, 'end': 89, 'probability': 0.8484, 'type': 'Other', 'normalized_text': 'Entryscape Catalog'}], 'hashtags': [{'start': 242, 'end': 251, 'tag': 'opendata'}, {'start': 252, 'end': 263, 'tag': 'entryscape'}, {'start': 264, 'end': 276, 'tag': 'DataScience'}], 'mentions': [{'start': 93, 'end': 105, 'username': 'StatsSweden', 'id': '41311025'}], 'urls': [{'start': 138, 'end': 161, 'url': 'https://t.co/rxJRtgowd1', 'expanded_url': 'http://oppnadata.se', 'display_url': 'oppnadata.se', 'unwound_url': 'http://oppnadata.se'}, {'start': 190, 'end': 213, 'url': 'https://t.co/lielD8bwtS', 'expanded_url': 'http://dataportal.se', 'display_url': 'dataportal.se', 'images': [{'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=orig', 'width': 150, 'height': 150}, {'url': 'https://pbs.twimg.com/news_img/1531301788791750656/ES83v6_j?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Sveriges dataportal', 'description': 'Sveriges nationella dataportal för att hitta, utforska och använda data från offentlig och privat sektor', 'unwound_url': 'https://www.dataportal.se/'}, {'start': 217, 'end': 240, 'url': 'https://t.co/BjdHJ4YmVY', 'expanded_url': 'https://entryscape.com/sv/2020/03/valkommen-scb-idag-bli-sveriges-dataportal-tre-ganger-sa-stor/', 'display_url': 'entryscape.com/sv/2020/03/val…', 'status': 200, 'unwound_url': 'https://entryscape.com/sv/2020/03/valkommen-scb-idag-bli-sveriges-dataportal-tre-ganger-sa-stor/'}]}",1245278977742327808,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",TweetDeck,"We are more than happy to announce our new customer and publisher using Entryscape Catalog - @StatsSweden
This means 3980 new datasets on https://t.co/rxJRtgowd1 and the new national portal https://t.co/lielD8bwtS. 

https://t.co/BjdHJ4YmVY

#opendata #entryscape #DataScience"
21,849262502051540992,2019-12-17T15:52:07.000Z,['1206965303021846528'],"{'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/Uo0UdV87vV', 'expanded_url': 'http://oppnadata.se', 'display_url': 'oppnadata.se', 'unwound_url': 'https://oppnadata.se/'}, {'start': 130, 'end': 153, 'url': 'https://t.co/dQSz84nJpT', 'expanded_url': 'http://dataportal.se', 'display_url': 'dataportal.se'}, {'start': 245, 'end': 268, 'url': 'https://t.co/sV2JZPAnSw', 'expanded_url': 'https://lnkd.in/dcdc-55', 'display_url': 'lnkd.in/dcdc-55'}]}",1206965303021846528,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 16, 'quote_count': 0}",Twitter for iPhone,"Sverige dataportal får nytt namn och ny grafisk profil. Samtidigt blir det en ny webbadress, då https://t.co/Uo0UdV87vV byts till https://t.co/dQSz84nJpT. Betaversionen lanseras redan nu, men funktionaliteten kommer utvecklas löpande.

Läs mer:
https://t.co/sV2JZPAnSw"
